L0:
INICIO@38,15
BT@13,8<-13,9
BT@12,8<-13,8
BT@11,8<-12,8
BT@11,9<-11,8
BT@11,10<-11,9
BT@12,10<-11,10
BT@13,10<-12,10
BT@14,10<-13,10
BT@14,11<-14,10
BT@14,12<-14,11
BT@14,13<-14,12
BT@15,13<-14,13
BT@15,14<-15,13
BT@15,15<-15,14
BT@15,16<-15,15
BT@15,17<-15,16
BT@15,18<-15,17
BT@15,19<-15,18
BT@15,20<-15,19
BT@15,21<-15,20
BT@15,22<-15,21
BT@14,22<-15,22
BT@14,21<-14,22
BT@14,20<-14,21
BT@13,20<-14,20
BT@13,19<-13,20
F@13,19->12,19
E@12,19->12,18
F@12,18->11,18
E@11,18->11,17
E@11,17->11,16
E@11,16->11,15
E@11,15->11,14
BT@11,15<-11,14
T@11,15->12,15
D@12,15->12,16
BT@12,15<-12,16
BT@11,15<-12,15
BT@11,16<-11,15
BT@11,17<-11,16
BT@11,18<-11,17
BT@12,18<-11,18
BT@12,19<-12,18
BT@13,19<-12,19
BT@13,18<-13,19
BT@13,17<-13,18
BT@14,17<-13,17
BT@14,16<-14,17
BT@14,15<-14,16
BT@14,14<-14,15
BT@13,14<-14,14
BT@13,13<-13,14
BT@12,13<-13,13
BT@12,12<-12,13
BT@11,12<-12,12
BT@10,12<-11,12
BT@10,11<-10,12
BT@9,11<-10,11
BT@9,12<-9,11
BT@8,12<-9,12
BT@8,11<-8,12
BT@8,10<-8,11
BT@8,9<-8,10
E@8,9->8,8
BT@8,9<-8,8
BT@7,9<-8,9
BT@7,8<-7,9
BT@7,7<-7,8
BT@7,6<-7,7
BT@7,5<-7,6
BT@6,5<-7,5
BT@6,4<-6,5
BT@6,3<-6,4
BT@5,3<-6,3
BT@5,2<-5,3
BT@5,1<-5,2
T@5,1->6,1
T@6,1->7,1
D@7,1->7,2
T@7,2->8,2
D@8,2->8,3
BT@8,2<-8,3
E@8,2->8,1
T@8,1->9,1
D@9,1->9,2
BT@9,1<-9,2
BT@8,1<-9,1
BT@8,2<-8,1
BT@7,2<-8,2
BT@7,1<-7,2
BT@6,1<-7,1
BT@5,1<-6,1
BT@4,1<-5,1
BT@4,2<-4,1
BT@4,3<-4,2
BT@3,3<-4,3
BT@2,3<-3,3
BT@2,2<-2,3
BT@1,2<-2,2
BT@1,3<-1,2
BT@1,4<-1,3
BT@1,5<-1,4
T@1,5->2,5
BT@1,5<-2,5
BT@1,6<-1,5
BT@2,6<-1,6
T@2,6->3,6
D@3,6->3,7
T@3,7->4,7
D@4,7->4,8
BT@4,7<-4,8
E@4,7->4,6
E@4,6->4,5
BT@4,6<-4,5
T@4,6->5,6
BT@4,6<-5,6
BT@4,7<-4,6
BT@3,7<-4,7
BT@3,6<-3,7
BT@2,6<-3,6
BT@2,7<-2,6
BT@2,8<-2,7
BT@3,8<-2,8
BT@3,9<-3,8
BT@4,9<-3,9
BT@5,9<-4,9
BT@5,10<-5,9
BT@6,10<-5,10
BT@6,11<-6,10
BT@6,12<-6,11
BT@5,12<-6,12
BT@4,12<-5,12
BT@3,12<-4,12
BT@2,12<-3,12
BT@2,13<-2,12
BT@3,13<-2,13
BT@4,13<-3,13
BT@4,14<-4,13
BT@4,15<-4,14
BT@5,15<-4,15
BT@5,14<-5,15
BT@6,14<-5,14
BT@6,13<-6,14
BT@7,13<-6,13
BT@8,13<-7,13
BT@8,14<-8,13
BT@9,14<-8,14
BT@9,15<-9,14
BT@9,16<-9,15
BT@9,17<-9,16
BT@10,17<-9,17
BT@10,18<-10,17
BT@10,19<-10,18
BT@11,19<-10,19
BT@11,20<-11,19
BT@12,20<-11,20
BT@12,21<-12,20
BT@13,21<-12,21
BT@13,22<-13,21
BT@13,23<-13,22
BT@13,24<-13,23
BT@13,25<-13,24
T@13,25->14,25
T@14,25->15,25
D@15,25->15,26
T@15,26->16,26
D@16,26->16,27
T@16,27->17,27
BT@16,27<-17,27
BT@16,26<-16,27
E@16,26->16,25
E@16,25->16,24
BT@16,25<-16,24
T@16,25->17,25
BT@16,25<-17,25
BT@16,26<-16,25
BT@15,26<-16,26
BT@15,25<-15,26
BT@14,25<-15,25
BT@13,25<-14,25
BT@12,25<-13,25
BT@12,24<-12,25
BT@11,24<-12,24
BT@10,24<-11,24
BT@10,23<-10,24
BT@10,22<-10,23
E@10,22->10,21
BT@10,22<-10,21
BT@9,22<-10,22
BT@9,21<-9,22
E@9,21->9,20
BT@9,21<-9,20
BT@8,21<-9,21
BT@8,20<-8,21
BT@8,19<-8,20
E@8,19->8,18
BT@8,19<-8,18
BT@7,19<-8,19
BT@6,19<-7,19
BT@5,19<-6,19
BT@5,20<-5,19
BT@6,20<-5,20
BT@7,20<-6,20
BT@7,21<-7,20
BT@7,22<-7,21
BT@7,23<-7,22
BT@6,23<-7,23
BT@5,23<-6,23
BT@5,24<-5,23
BT@5,25<-5,24
T@5,25->6,25
BT@5,25<-6,25
BT@4,25<-5,25
BT@3,25<-4,25
BT@3,24<-3,25
BT@3,23<-3,24
BT@3,22<-3,23
BT@3,21<-3,22
BT@3,20<-3,21
BT@3,19<-3,20
BT@2,19<-3,19
BT@2,18<-2,19
BT@2,17<-2,18
BT@2,16<-2,17
BT@2,15<-2,16
BT@1,15<-2,15
BT@1,16<-1,15
BT@1,17<-1,16
BT@1,18<-1,17
BT@1,19<-1,18
BT@1,20<-1,19
BT@2,20<-1,20
BT@2,21<-2,20
BT@2,22<-2,21
BT@2,23<-2,22
BT@1,23<-2,23
BT@1,24<-1,23
BT@1,25<-1,24
BT@1,26<-1,25
BT@2,26<-1,26
BT@3,26<-2,26
BT@3,27<-3,26
BT@3,28<-3,27
BT@4,28<-3,28
BT@4,27<-4,28
BT@4,26<-4,27
BT@5,26<-4,26
BT@6,26<-5,26
BT@7,26<-6,26
BT@8,26<-7,26
BT@8,27<-8,26
BT@9,27<-8,27
BT@10,27<-9,27
BT@11,27<-10,27
BT@11,28<-11,27
BT@12,28<-11,28
T@12,28->13,28
BT@12,28<-13,28
BT@12,27<-12,28
BT@12,26<-12,27
BT@13,26<-12,26
BT@14,26<-13,26
BT@14,27<-14,26
BT@15,27<-14,27
BT@15,28<-15,27
BT@16,28<-15,28
BT@17,28<-16,28
BT@18,28<-17,28
BT@19,28<-18,28
BT@19,27<-19,28
BT@20,27<-19,27
BT@21,27<-20,27
BT@21,28<-21,27
BT@22,28<-21,28
BT@23,28<-22,28
BT@24,28<-23,28
BT@24,27<-24,28
BT@25,27<-24,27
BT@26,27<-25,27
BT@26,28<-26,27
BT@27,28<-26,28
BT@28,28<-27,28
T@28,28->29,28
T@29,28->30,28
T@30,28->31,28
E@31,28->31,27
T@31,27->32,27
D@32,27->32,28
BT@32,27<-32,28
E@32,27->32,26
E@32,26->32,25
F@32,25->31,25
F@31,25->30,25
D@30,25->30,26
BT@30,25<-30,26
E@30,25->30,24
T@30,24->31,24
E@31,24->31,23
E@31,23->31,22
E@31,22->31,21
BT@31,22<-31,21
BT@31,23<-31,22
T@31,23->32,23
D@32,23->32,24
T@32,24->33,24
E@33,24->33,23
T@33,23->34,23
D@34,23->34,24
BT@34,23<-34,24
E@34,23->34,22
E@34,22->34,21
F@34,21->33,21
BT@34,21<-33,21
E@34,21->34,20
E@34,20->34,19
F@34,19->33,19
F@33,19->32,19
D@32,19->32,20
BT@32,19<-32,20
F@32,19->31,19
BT@32,19<-31,19
E@32,19->32,18
T@32,18->33,18
T@33,18->34,18
E@34,18->34,17
E@34,17->34,16
F@34,16->33,16
F@33,16->32,16
E@32,16->32,15
F@32,15->31,15
F@31,15->30,15
F@30,15->29,15
BT@30,15<-29,15
E@30,15->30,14
E@30,14->30,13
E@30,13->30,12
F@30,12->29,12
BT@30,12<-29,12
E@30,12->30,11
T@30,11->31,11
BT@30,11<-31,11
BT@30,12<-30,11
BT@30,13<-30,12
BT@30,14<-30,13
BT@30,15<-30,14
BT@31,15<-30,15
BT@32,15<-31,15
T@32,15->33,15
T@33,15->34,15
BT@33,15<-34,15
BT@32,15<-33,15
BT@32,16<-32,15
BT@33,16<-32,16
BT@34,16<-33,16
BT@34,17<-34,16
T@34,17->35,17
D@35,17->35,18
D@35,18->35,19
D@35,19->35,20
BT@35,19<-35,20
T@35,19->36,19
BT@35,19<-36,19
BT@35,18<-35,19
BT@35,17<-35,18
BT@34,17<-35,17
BT@34,18<-34,17
BT@33,18<-34,18
BT@32,18<-33,18
BT@32,19<-32,18
BT@33,19<-32,19
BT@34,19<-33,19
BT@34,20<-34,19
BT@34,21<-34,20
BT@34,22<-34,21
T@34,22->35,22
BT@34,22<-35,22
BT@34,23<-34,22
BT@33,23<-34,23
BT@33,24<-33,23
BT@32,24<-33,24
BT@32,23<-32,24
BT@31,23<-32,23
BT@31,24<-31,23
BT@30,24<-31,24
BT@30,25<-30,24
BT@31,25<-30,25
BT@32,25<-31,25
BT@32,26<-32,25
T@32,26->33,26
T@33,26->34,26
BT@33,26<-34,26
BT@32,26<-33,26
BT@32,27<-32,26
BT@31,27<-32,27
BT@31,28<-31,27
BT@30,28<-31,28
BT@29,28<-30,28
BT@28,28<-29,28
BT@28,27<-28,28
BT@28,26<-28,27
BT@28,25<-28,26
BT@28,24<-28,25
BT@29,24<-28,24
BT@29,23<-29,24
BT@29,22<-29,23
BT@30,22<-29,22
BT@30,21<-30,22
BT@30,20<-30,21
F@30,20->29,20
BT@30,20<-29,20
BT@30,19<-30,20
BT@30,18<-30,19
BT@30,17<-30,18
T@30,17->31,17
BT@30,17<-31,17
BT@29,17<-30,17
BT@29,16<-29,17
BT@28,16<-29,16
BT@28,15<-28,16
BT@28,14<-28,15
F@28,14->27,14
BT@28,14<-27,14
BT@28,13<-28,14
BT@28,12<-28,13
BT@28,11<-28,12
BT@28,10<-28,11
BT@29,10<-28,10
BT@29,9<-29,10
BT@30,9<-29,9
BT@31,9<-30,9
BT@31,8<-31,9
BT@32,8<-31,8
BT@33,8<-32,8
BT@33,9<-33,8
BT@33,10<-33,9
BT@33,11<-33,10
BT@34,11<-33,11
BT@35,11<-34,11
BT@35,10<-35,11
BT@36,10<-35,10
BT@36,9<-36,10
BT@37,9<-36,9
BT@38,9<-37,9
BT@39,9<-38,9
BT@39,10<-39,9
BT@40,10<-39,10
BT@40,11<-40,10
BT@40,12<-40,11
BT@41,12<-40,12
BT@42,12<-41,12
BT@42,13<-42,12
BT@42,14<-42,13
BT@41,14<-42,14
BT@40,14<-41,14
BT@39,14<-40,14
BT@39,15<-39,14
BT@40,15<-39,15
BT@40,16<-40,15
T@40,16->41,16
D@41,16->41,17
BT@41,16<-41,17
T@41,16->42,16
BT@41,16<-42,16
BT@40,16<-41,16
BT@40,17<-40,16
BT@39,17<-40,17
BT@39,18<-39,17
BT@40,18<-39,18
BT@41,18<-40,18
BT@41,19<-41,18
BT@41,20<-41,19
BT@42,20<-41,20
BT@42,21<-42,20
BT@43,21<-42,21
T@43,21->44,21
BT@43,21<-44,21
BT@43,22<-43,21
BT@44,22<-43,22
BT@45,22<-44,22
BT@45,21<-45,22
BT@46,21<-45,21
BT@47,21<-46,21
BT@47,22<-47,21
BT@47,23<-47,22
BT@46,23<-47,23
BT@46,24<-46,23
BT@46,25<-46,24
T@46,25->47,25
D@47,25->47,26
D@47,26->47,27
D@47,27->47,28
F@47,28->46,28
E@46,28->46,27
BT@46,28<-46,27
BT@47,28<-46,28
BT@47,27<-47,28
BT@47,26<-47,27
BT@47,25<-47,26
BT@46,25<-47,25
BT@45,25<-46,25
BT@45,26<-45,25
BT@45,27<-45,26
BT@44,27<-45,27
BT@44,26<-44,27
BT@44,25<-44,26
BT@44,24<-44,25
BT@43,24<-44,24
BT@43,25<-43,24
BT@43,26<-43,25
BT@43,27<-43,26
BT@43,28<-43,27
BT@42,28<-43,28
BT@42,27<-42,28
BT@42,26<-42,27
BT@42,25<-42,26
BT@41,25<-42,25
BT@41,26<-41,25
BT@41,27<-41,26
BT@41,28<-41,27
BT@40,28<-41,28
BT@40,27<-40,28
BT@40,26<-40,27
BT@40,25<-40,26
F@40,25->39,25
BT@40,25<-39,25
BT@40,24<-40,25
BT@40,23<-40,24
BT@39,23<-40,23
BT@39,22<-39,23
BT@39,21<-39,22
BT@38,21<-39,21
BT@37,21<-38,21
BT@37,20<-37,21
BT@37,19<-37,20
BT@37,18<-37,19
BT@37,17<-37,18
E@37,17->37,16
F@37,16->36,16
E@36,16->36,15
E@36,15->36,14
BT@36,15<-36,14
BT@36,16<-36,15
BT@37,16<-36,16
BT@37,17<-37,16
BT@38,17<-37,17
BT@38,16<-38,17
BT@38,15<-38,16
